competition_number,vendor_name,source_year,row_count_in_source,review_note
20-034,Petro Canada Lubrications Inc.,2025,2,
22-004,Bureau Veritas Canada (2019) Inc.,2025,2,
22-167,Kinetic Construction Ltd.,2024,3,
23-132,B&B Contracting (2012) Ltd.,2024,2,
23-132,BD Hall Constructors,2024,2,
23-132,Michels Canada Co.,2024,2,
24-024,Brenntag Canada Inc.,2025,2,
24-024,Univar Canada,2025,3,
24-046,CDW Canada Corporation,2024,4,
24-046,CDW Canada Corporation,2025,2,
24-148,B&B Heavy Civil Construction Ltd.,2025,2,
24-421,Allnorth Consultants Limited,2025,2,
24-477,UNIVERSAL SHEET METAL,2026,2,
25-331,AECOM CANADA ULC,2025,2,Source-valid: 25-331 multi-scope competition
25-331,BBA FIELD SERVICES LTD.,2025,2,Source-valid: 25-331 multi-scope competition
25-331,CIMA CANADA INC,2025,2,Source-valid: 25-331 multi-scope competition
25-331,ECORA ENGINEERING & RESOURCE GROUP LTD,2025,2,Source-valid: 25-331 multi-scope competition
25-331,GHD LIMITED,2025,2,Source-valid: 25-331 multi-scope competition
25-331,HATCH LTD.,2025,2,Source-valid: 25-331 multi-scope competition
25-331,NORTHWEST HYDRAULIC CONSULTANTS LTD.,2025,2,Source-valid: 25-331 multi-scope competition
25-331,WSP CANADA INC,2025,2,Source-valid: 25-331 multi-scope competition
25-647,ORACLE CANADA ULC,2025,2,
25-688,WAGNER MAINTENANCE,2025,4,
25-705,BESTWAY FLOORING LTD,2025,2,
26-0119,PETRO CANADA LUBRICATIONS INC.,2026,2,
